id,code,gpt_label,claude_label,gemini_label,final_label,confidence,needs_review
10,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance"");
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
11,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance."");
    require(_to != address(0), ""Invalid receiver address."");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);

    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
12,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_to != address(0));
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
13,"function transfer(address to, uint256 amount) public returns (bool) {
    require(to != address(0), ""Cannot send to zero address"");
    require(amount <= balances[msg.sender], ""Insufficient balance"");
    
    // Incorrect balance check, the balance isn't reduced
    balances[to] += amount;
    
    emit Transfer(msg.sender, to, amount);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
14,"function transfer(address _to, uint _value) public returns (bool success) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
15,"// Unsafe transfer, susceptible to re-entrancy attacks
function transfer(address _to, uint256 _value) public returns (bool) {
    require(balances[msg.sender] >= _value);

    balances[msg.sender] -= _value;
    balances[_to] += _value;

    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
16,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance."");
    require(_to != address(0), ""Invalid recipient address."");
    
    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = balances[_to] + _value;
    
    emit Transfer(msg.sender, _to, _value);
    
    return true;
}",safe,safe,safe,safe,1.0,false
17,"function transfer(address _to, uint256 _value) public returns (bool) {
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
18,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value); // Check if the sender has enough
    require(balances[_to] + _value >= balances[_to]); // Check for overflows
    balances[msg.sender] -= _value; // Subtract from the sender
    balances[_to] += _value; // Add the same to the recipient
    emit Transfer(msg.sender, _to, _value); // Emit the transfer event
    return true;
}",safe,safe,safe,safe,1.0,false
19,"function transfer(address _to, uint256 _amount) public {
    require(ledger[msg.sender] >= _amount); 
    ledger[_to] += _amount;
    ledger[msg.sender] -= _amount;
    emit Transfer(msg.sender, _to, _amount);
}
```
Note: This code is unsafe as it does not check the balance of the sender before subtracting the amount. It instead checks the ledger which could be a completely different variable.",unsafe,safe,unsafe,unsafe,0.67,true
20,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balanceOf[msg.sender] >= _value, ""Insufficient balance."");
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
21,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Insufficient balance."");
    require(_to != address(0));

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
22,"function transfer(address _to, uint256 _amount) public {
    require(_to != address(0));
    balances[msg.sender] -= _amount;
    balances[_to] += _amount;
    emit Transfer(msg.sender, _to, _amount);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
23,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balanceOf[msg.sender] > _value); // Incorrect balance check, should be >=
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
24,"function transfer(address _to, uint256 _value) public returns (bool success) {
    ledger[msg.sender] -= _value;
    ledger[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
25,"function transfer(address _to, uint256 _value) public {
    balances[msg.sender] = balances[msg.sender] - _value;
    // Missing validation of receiver's address
    balances[_to] = balances[_to] + _value;
    // State inconsistency: Transfer event should come after state change
    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
26,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance."");
    require(_to != address(0), ""Invalid address."");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);

    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
27,"function transfer(address _to, uint256 _value) public returns (bool success) {
    // Missing validation for _to address and _value
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
28,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balance[msg.sender]); // Check if the sender has enough
    require(_to != address(0)); // Prevent transfer to 0x0 address.
    
    balance[msg.sender] = balance[msg.sender] - _value; // Subtract from the sender
    balance[_to] = balance[_to] + _value; // Add the same to the recipient
    emit Transfer(msg.sender, _to, _value); // Emit the transfer event
    return true;
}",safe,safe,safe,safe,1.0,false
29,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]); // incorrect balance check
    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = balances[_to] + _value; // wrong variable used, should use '_value'
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
30,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]);
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
31,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Not enough balance"");
    require(_to != address(0), ""Invalid address"");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);

    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
32,"function transfer(address _to, uint256 _value) public returns (bool) {
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
33,"function transfer(address _to, uint _value) public returns (bool success) {
    require(balances[msg.sender] > _value); // Incorrect balance check, should use >= not >
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
34,"function transfer(address to, uint tokens) public returns (bool success) {
    balances[msg.sender] = balances[msg.sender] - tokens;
    balances[to] = balances[to] + tokens;
    emit Transfer(msg.sender, to, tokens);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
35,"function transfer(address _to, uint256 _value) public returns (bool) {
    balances[msg.sender] -= _value; 
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}
```
This function is unsafe due to a state inconsistency issue. It does not check if the sender has enough balance before subtracting the value.",unsafe,unsafe,unsafe,unsafe,1.0,false
36,"function transfer(address _to, uint256 _value) public returns (bool success) {
  require(_to != address(0));
  require(_value <= balances[msg.sender]);

  balances[msg.sender] = balances[msg.sender].sub(_value);
  balances[_to] = balances[_to].add(_value);
  emit Transfer(msg.sender, _to, _value);
  
  return true;
}",safe,safe,safe,safe,1.0,false
37,"function transfer(address _to, uint256 _value) public {
    /* Missing input validation, this can lead to unexpected behavior */
    balances[msg.sender] -= _value;
    balances[_to] += _value;

    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
38,"function transfer(address _to, uint256 _value) public returns (bool success) {
    // Check if the sender has enough balance to transfer
    require(balance[msg.sender] >= _value, ""Insufficient balance"");
    // Check for overflows
    require(balance[_to] + _value >= balance[_to], ""Overflow error"");
    // Subtract from the sender
    balance[msg.sender] -= _value;
    // Add the same to the recipient
    balance[_to] += _value;
    // Emit an event for this transaction
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
39,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]); // Wrong variable in check, should check 'balance'
    require(_to != address(0));
    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = balances[_to] + _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
40,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Not enough balance"");
    balances[msg.sender] = balances[msg.sender] - _value; 
    balances[_to] = balances[_to] + _value; 
    emit Transfer(msg.sender, _to, _value); 
    return true;
}",safe,safe,safe,safe,1.0,false
41,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance"");
    require(_to != address(0), ""Invalid address"");

    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = balances[_to] + _value;

    emit Transfer(msg.sender, _to, _value);

    return true;
}",safe,safe,safe,safe,1.0,false
42,"function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
43,"function transfer(address _to, uint256 _value) public returns (bool success) {
    // Incorrect balance check
    if (balances[msg.sender] <= _value) {
        return false;
    }
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
44,"function transfer(address _to, uint256 _value) public returns (bool success) {
    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = balances[_to] + _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
45,"function transfer(address _to, uint256 _value) public {
    require(_value <= balances[msg.sender]);
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    balances[msg.sender] += _value; // State inconsistency: undoing the balance decrease
}",unsafe,unsafe,unsafe,unsafe,1.0,false
46,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Insufficient balance"");
    require(_to != address(0), ""Cannot transfer to the zero address"");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    
    emit Transfer(msg.sender, _to, _value);
    
    return true;
}",safe,safe,safe,safe,1.0,false
47,"function transfer(address _to, uint _value) public {
    /* There is no check to validate if the sender has sufficient balance to send */
    balances[msg.sender] -= _value; 
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
48,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance.""); // Check if the sender has enough
    require(_to != address(0), ""Invalid address.""); // Prevent transfer to 0x0 address

    balances[msg.sender] -= _value; // Subtract from the sender
    balances[_to] += _value; // Add the same to the recipient

    emit Transfer(msg.sender, _to, _value); // Notify anyone listening that this transfer took place

    return true;
}",safe,safe,safe,safe,1.0,false
49,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]); 
    require(balances[_to] + _value > balances[_to]); 

    balances[msg.sender] = balances[msg.sender] - _value; 
    balances[_to] = balances[_value] + _value; // Wrong variable used here, should be balances[_to]
    emit Transfer(msg.sender, _to, _value); 
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
50,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance"");
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
51,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance"");
    require(_to != address(0), ""Invalid address"");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);

    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
52,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_to != address(0));
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
53,"// Unsafe ERC20-like transfer function with incorrect balance check
function transfer(address _to, uint256 _value) public returns (bool) {
    require(_value <= balances[msg.sender]);
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}
```
This function is unsafe because it does not check if the balance of the recipient (`_to`) overflows after the transfer. A malicious user can cause `_to`'s balance to overflow and reset to zero by transferring a very large `_value`.",unsafe,unsafe,unsafe,unsafe,1.0,false
54,"function transfer(address _to, uint256 _value) public {
    // No balance check
    // No SafeMath for arithmetic. Potential overflow risk
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    
    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
55,"function transfer(address _to, uint256 _amount) public {
    require(balanceOf[msg.sender] > _amount);
    balanceOf[msg.sender] -= _amount;
    balanceOf[_to] += _amount; 
    emit Transfer(msg.sender, _to, _amount);
    balanceOf[msg.sender] += _amount; // state inconsistency issue
}",unsafe,unsafe,unsafe,unsafe,1.0,false
56,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Insufficient balance"");
    require(_to != address(0), ""Invalid address"");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);

    emit Transfer(msg.sender, _to, _value); 
    return true;
}",safe,safe,safe,safe,1.0,false
57,"function transfer(address _to, uint256 _value) public returns (bool) {
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
58,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value); // check if the sender has enough
    require(balances[_to] + _value >= balances[_to]); // check for overflows

    balances[msg.sender] -= _value; // subtract from the sender
    balances[_to] += _value; // add the same to the recipient

    emit Transfer(msg.sender, _to, _value); // notify anyone listening that this transfer took place

    return true;
}",safe,safe,safe,safe,1.0,false
59,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] > _value);
    ledger[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
60,"function transfer(address _to, uint256 _value) public returns (bool) {
    require(_value <= balances[msg.sender]);
    require(_to != address(0));

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
61,"function transfer(address _to, uint256 _value) public returns (bool) {
    require(_value <= balances[msg.sender]);
    require(_to != address(0));

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
62,"function transfer(address _to, uint256 _amount) public returns (bool) {
    require(_to != address(0));

    // Missing balance checks here
    balances[msg.sender] -= _amount;
    balances[_to] += _amount;

    emit Transfer(msg.sender, _to, _amount);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
63,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value);
    // incorrect balance check - should decrease sender's balance
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
64,"function transfer(address _to, uint256 _value) public {
    require(balanceOf[msg.sender] >= _value);
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
}",safe,safe,safe,safe,1.0,false
65,"function transfer(address _to, uint256 _value) public {
    require(balanceOf[msg.sender] >= _value);
    
    // Deducts the amount from sender balance and then sends it to the receiver
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;

    // Emit Transfer event
    emit Transfer(msg.sender, _to, _value);

    // Inconsistency: balance of sender is restored
    balanceOf[msg.sender] += _value;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
66,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_to != address(0));
    require(balanceOf[msg.sender] >= _value);
    
    balanceOf[msg.sender] = balanceOf[msg.sender] - _value;
    balanceOf[_to] = balanceOf[_to] + _value;
    
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
67,"function transfer(address to, uint256 amount) public returns (bool) {
    balances[msg.sender] -= amount;
    balances[to] += amount;
    emit Transfer(msg.sender, to, amount);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
68,"// Transfers 'amount' tokens from the caller's account to 'recipient'.
function transfer(address recipient, uint256 amount) public returns (bool) {
    require(recipient != address(0), ""Transfer to the zero address"");
    require(msg.sender != address(0), ""Transfer from the zero address"");
    require(amount <= balances[msg.sender], ""Insufficient balance"");
    
    // Transfer the amount
    balances[msg.sender] = balances[msg.sender] - amount;
    balances[recipient] = balances[recipient] + amount;

    emit Transfer(msg.sender, recipient, amount);
    return true;
}",safe,safe,safe,safe,1.0,false
69,"function transfer(address _to, uint256 _value) public {
    require(_value <= balances[msg.sender]);
    balances[_from] = balances[_from].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
70,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance."");
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
71,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]);
    require(_to != address(0));

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
72,"function transfer(address _to, uint _value) public returns (bool) {
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
73,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balanceOf[msg.sender]); // Incorrect balance check
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
74,"function transfer(address _to, uint256 _value) public returns (bool success) {
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
75,"function transfer(address _to, uint256 _value) public returns (bool success) {
    balances[msg.sender] -= _value; // unsafe, can lead to underflow
    balances[_to] += _value; // unsafe, can lead to overflow
    emit Transfer(msg.sender, _to, _value); 
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
76,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    
    return true;
}",safe,safe,safe,safe,1.0,false
77,"function transfer(address _to, uint256 _value) public returns (bool) {
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
78,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance."");
    require(_to != address(0), ""Invalid address."");

    // Subtract from the sender
    balances[msg.sender] = balances[msg.sender].sub(_value);
    // Add to the recipient
    balances[_to] = balances[_to].add(_value);
    
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
79,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balanceOf[msg.sender] >= _value);
    balanceOf[_to] = balanceOf[_to] + _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}
```
In the above code, there's no reduction of the sender's balance, resulting in the creation of extra tokens during transfer, making it unsafe.",unsafe,unsafe,unsafe,unsafe,1.0,false
80,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(balances[msg.sender] >= _value, ""Insufficient balance"");
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
81,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Insufficient balance"");
    require(_to != address(0), ""Invalid address"");

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
82,"function transfer(address _to, uint256 _value) public returns (bool success) {
    // Missing balance check could lead to negative balances
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value); 
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
83,"// Unsafe transfer function due to incorrect balance check
function transfer(address _to, uint256 _amount) public returns (bool) {
    require(balances[msg.sender] > _amount); // Incorrect check: should be >=
    balances[msg.sender] -= _amount;
    balances[_to] += _amount;
    emit Transfer(msg.sender, _to, _amount);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
84,"function transfer(address to, uint tokens) public returns (bool success) {
    balances[msg.sender] -= tokens;
    balances[to] += tokens;
    emit Transfer(msg.sender, to, tokens);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
85,"function transfer(address _to, uint256 _amount) public returns (bool) {
    if (balances[msg.sender] < _amount) {
        return false;
    }
    balances[msg.sender] -= _amount;
    balances[_to] += _amount;
    emit Transfer(msg.sender, _to, _amount);
    balances[msg.sender] += _amount;
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
86,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_to != address(0), ""Invalid address"");
    require(_value <= balances[msg.sender], ""Insufficient balance"");
    
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    
    emit Transfer(msg.sender, _to, _value);
    
    return true;
}",safe,safe,safe,safe,1.0,false
87,"function transfer(address _to, uint256 _value) public {
    /* Missing the require() statement to validate input */

    /* Subtracts the amount from sender's balance */
    balances[msg.sender] -= _value;
    
    /* Adds the amount to recipient's balance */
    balances[_to] += _value;

    /* Emit an event for this transaction */
    emit Transfer(msg.sender, _to, _value);
}",unsafe,unsafe,unsafe,unsafe,1.0,false
88,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender]); // Check sender has sufficient balance
    require(_to != address(0)); // Prevent transfer to 0x0 address

    balances[msg.sender] = balances[msg.sender].sub(_value); // Subtract from the sender
    balances[_to] = balances[_to].add(_value); // Add the same to the recipient

    emit Transfer(msg.sender, _to, _value); // Emit transfer event
    return true;
}",safe,safe,safe,safe,1.0,false
89,"function transfer(address _to, uint256 _value) public returns (bool success) {
    // Incorrect variable used in the following check
    require(balanceOf[_to] >= _value); 
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",unsafe,unsafe,unsafe,unsafe,1.0,false
90,"function transfer(address _to, uint256 _value) public returns (bool success) {
    require(_value <= balances[msg.sender], ""Insufficient balance."");
    balances[msg.sender] -= _value;
    balances[_to] += _value;
    emit Transfer(msg.sender, _to, _value);
    return true;
}",safe,safe,safe,safe,1.0,false
